,ISO_3166-1_alpha-2,ISO_3166-1_alpha-3,_name,_type,administrative,aerodrome,allotments,archaeological_site,arts_centre,artwork,attraction,bakery,bar,bay,beach,building,bus_stop,cafe,canal,car_rental,chalet,city,city_district,clothes,commercial,community_centre,continent,convenience,country,country_code,county,county_code,cycleway,department_store,doctors,dry_cleaning,farm,farmyard,fast_food,ferry_terminal,florist,footway,fuel,garden,grave_yard,guest_house,hamlet,hardware,hostel,hotel,house,house_number,industrial,information,island,islet,lat,lng,local_administrative_area,locality,marina,memorial,mountain_pass,neighbourhood,path,peak,pedestrian,picnic_site,place_of_worship,political_union,postcode,pub,raceway,railway,recreation_ground,region,residential,restaurant,retail,river,road,road_type,sports_centre,stadium,state,state_code,state_district,station,stream,suburb,subway_entrance,supermarket,taxi,town,toys,travel_agency,university,unknown,viewpoint,village,water
298,CL,CHL,Hannover,road,,,,,,,,,,,,,,,,,,Arica,,,,,South America,,Chile,cl,Provincia de Arica,,,,,,,,,,,,,,,,,,,,,,,,,,-18.4749342,-70.2973087,,,,,,Barrio San José,,,,,,,1020759,,,,,,,,,,Hannover,residential,,,Arica and Parinacota Region,,,,,,,,,,,,,,,,
299,CL,CHL,Hannover,road,,,,,,,,,,,,,,,,,,Osorno,,,,,South America,,Chile,cl,Provincia de Osorno,,,,,,,,,,,,,,,,,,,,,,,,,,-40.5700894,-73.1080376,,,,,,Villa Aranjuez,,,,,,,5310847,,,,,,,,,,Hannover,residential,,,Los Lagos Region,,,,,Rahue Bajo,,,,,,,,,,,
300,CL,CHL,Hannover,road,,,,,,,,,,,,,,,,,,Ñuñoa,,,,,South America,,Chile,cl,Provincia de Santiago,,,,,,,,,,,,,,,,,,,,,,,,,,-33.4517574,-70.5748456,,,,,,Villa Frei,,,,,,,7750000,,,,,,,,,,Hannover,residential,,,Santiago Metropolitan Region,,,,,Ñuñoa,,,,,,,,,,,
301,CL,CHL,Hannover,road,,,,,,,,,,,,,,,,,,Angol,,,,,South America,,Chile,cl,Provincia de Malleco,,,,,,,,,,,,,,,,,,,,,,,,,,-37.8095024,-72.6956884,,,,,,Pampa Ingeniero,,,,,,,4650000,,,,,,,,,,Hannover,residential,,,Araucanía Region,,,,,Huequén,,,,,,,,,,,
302,PH,PHL,Hannover,road,,,,,,,,,,,,,,,,,,Parañaque,,,,,Asia,,Philippines,ph,Parañaque,,,,,,,,,,,,,,,,,,,,,,,,,,14.4599045,121.0043042,,,,,,BF Homes Phase 3,,,,,,,1718,,,,,Metro Manila,,,,,Hannover,residential,,,,,,,,B.F. Homes,,,,,,,,,,,
303,CL,CHL,Hannover,road,,,,,,,,,,,,,,,,,,,,,,,South America,,Chile,cl,Provincia de Concepción,,,,,,,,,,,,,,,,,,,,,,,,,,-36.7950706,-73.1024186,,,,,,,,,,,,,4600770,,,,,,,,,,Hannover,residential,,,Biobío Region,,,,,,,,,Hualpén,,,,,,,
304,GB,GBR,Harrow,city,,,,,,,,,,,,,,,,,,London,,,,,Europe,,United Kingdom,gb,London Borough of Harrow,,,,,,,,,,,,,,,,,,,,,,,,,,51.5967688,-0.3372752,,,,,,,,,,,,European Union,,,,,,,,,,,,,,,England,ENG,Greater London,,,,,,,,,,,,,,
305,GB,GBR,Harrow,city,,,,,,,,,,,,,,,,,,London,,,,,Europe,,United Kingdom,gb,,,,,,,,,,,,,,,,,,,,,,,,,,,51.581091,-0.337475,,,,,,,,,,,,European Union,HA1 1LG,,,,,,,,,,,,,,England,ENG,Greater London,,,,,,,Harrow,,,,,,,
306,IE,IRL,Harrow,village,,,,,,,,,,,,,,,,,,,The Harrow,,,,Europe,,Ireland,ie,County Wexford,WX,,,,,,,,,,,,,,,,,,,,,,,,,52.5642453,-6.4445063,,,,,,,,,,,,European Union,,,,,,,,,,,,,,,Leinster,L,,,,,,,,,,,,,,The Harrow,
307,AU,AUS,Harrow,neighbourhood,,,,,,,,,,,,,,,,,,,,,,,Oceania,,Australia,au,Shire of West Wimmera,,,,,,,,,,,,,,,,,,,,,,,,,,-37.2063,141.346781,,,,,,,,,,,,,,,,,,,,,,,,,,,Victoria,VIC,,,,Harrow,,,,,,,,,,,
308,AU,AUS,Harrow,village,,,,,,,,,,,,,,,,,,,,,,,Oceania,,Australia,au,Shire of West Wimmera,,,,,,,,,,,,,,,,Harrow,,,,,,,,,,-37.1654534,141.5922439,,,,,,,,,,,,,,,,,,,,,,,,,,,Victoria,VIC,,,,,,,,,,,,,,,
309,GB,GBR,Harrow,village,,,,,,,,,,,,,,,,,,,,,,,Europe,,United Kingdom,gb,Caithness,,,,,,,,,,,,,,,,Harrow,,,,,,,,,,58.6493988,-3.2403439,,,,,,,,,,,,European Union,KW14 8XH,,,,,,,,,,,,,,Scotland,SCT,,,,,,,,,,,,,,,
310,US,USA,Harrow,village,,,,,,,,,,,,,,,,,,,,,,,North America,,USA,us,Bucks County,,,,,,,,,,,,,,,,Harrow,,,,,,,,,,40.4912136,-75.1743405,,,,,,,,,,,,,18942,,,,,,,,,,,,,,Pennsylvania,PA,,,,,,,,,,,,,,,
311,SO,SOM,Harrow,village,,,,,,,,,,,,,,,,,,,,,,,Africa,,Somalia,so,Baidoa بيدوا,,,,,,,,,,,,,,,,Harrow,,,,,,,,,,3.6016,43.572399,,,,,,,,,,,,,,,,,,,,,,,,,,,Bay,BY,,,,,,,,,,,,,,,
312,CA,CAN,Harrow,city,,,,,,,,,,,,,,,,,,,,,,,North America,,Canada,ca,Essex County,,,,,,,,,,,,,,,,,,,,,,,,,,42.035586,-82.9183594,,,,,,,,,,,,,N0R 1G0,,,,,,,,,,,,,,Ontario,ON,Southwestern Ontario,,,,,,,Harrow,,,,,,,
313,SE,SWE,Havet,village,,,,,,,,,,,,,,,,,,,,,,,Europe,,Sweden,se,Västervik,,,,,,,,,,,,,,,,Havet,,,,,,,,,,57.915942,16.1891269,,,,,,,,,,,,European Union,,,,,,,,,,,,,,,Kalmar County,,Småland,,,,,,,,,,,,,,
314,FR,FRA,Havet,village,,,,,,,,,,,,,,,,,,,,,,,Europe,,France,fr,Bagnères-de-Bigorre,,,,,,,,,,,,,,,,,,,,,,,,,,43.0824513,0.2218472,,Havet,,,,,,,,,,European Union,65130,,,,,,,,,,,,,,Occitania,,Hautespyrenees,,,,,,,,,,,,,Bettes,
315,SE,SWE,Havet,neighbourhood,,,,,,,,,,,,,,,,,,,,,,,Europe,,Sweden,se,Norrköping,,,,,,,,,,,,,,,,,,,,,,,,,,58.6064522,16.2589633,,,,,,,,,,,,European Union,,,,,,,Havet,,,,,,,,Östergötland County,,Province Östergötland,,,,,,,,,,,,,Lindö,
316,NO,NOR,Havet,village,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,Vestfold,,,,,,,,,,,,,,,,Hovet,,,,,,,,,,59.3298528,9.8884167,,,,,,,,,,,,,3277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,NO,NOR,Havet,village,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,Telemark,,,,,,,,,,,,,,,,,,,,,,,,,,59.2077583,9.2401917,,Håvet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,NO,NOR,Havet,farm,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,Telemark,,,,,,Håvet,,,,,,,,,,Dalsbygda,,,,,,,,,,59.2379194,9.4706722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,NO,NOR,Havet,farm,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,Telemark,,,,,,Håvet,,,,,,,,,,Kolrenna,,,,,,,,,,58.8372972,9.2876167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,NO,NOR,Havet,farm,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,Vestfold,,,,,,Hovet,,,,,,,,,,,,,,,,,,,,59.4262861,10.1148055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vivestad,
321,NO,NOR,Havet,farm,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,East Agder,,,,,,Håvet,,,,,,,,,,,,,,,,,,,,58.6778802,9.072414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laget,
322,NO,NOR,Havet,farm,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,East Agder,,,,,,Håvet,,,,,,,,,,Nipe,,,,,,,,,,58.683182,9.1439245,,,,,,,,,,,,,4957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,NO,NOR,Heia,county,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,Østfold,,,,,,,,,,,,,,,,,,,,,,,,Heia,,58.9580817,10.8732822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,NO,NOR,Heia,peak,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,Nordland,,,,,,,,,,,,,,,,,,,,,,,,,,68.2649557,13.9152834,,,,,,,,Heia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,NO,NOR,Heia,peak,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,Møre og Romsdal,,,,,,,,,,,,,,,,,,,,,,,,,,62.6231953,6.1590044,,,,,,,,Heia,,,,,6292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,NO,NOR,Heia,village,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,Akershus,,,,,,,,,,,,,,,,Heia,,,,,,,,,,59.7712632,11.4606057,,,,,,,,,,,,,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,NO,NOR,Heia,village,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,Troms,,,,,,,,,,,,,,,,Heia,,,,,,,,,,69.1423114,19.0543707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,NO,NOR,Heia,village,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,Nordland,,,,,,,,,,,,,,,,,,,,,,,,,,66.472114,13.499622,,Heia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,NO,NOR,Heia,village,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,Nordland,,,,,,,,,,,,,,,,,,,,,,,,,,66.646081,13.308094,,Heia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jektvik,
330,NO,NOR,Heia,farm,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,Akershus,,,,,,Heia,,,,,,,,,,Kroer,,,,,,,,,,59.6405389,10.8333361,,,,,,,,,,,,,1435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,NO,NOR,Heia,village,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,Østfold,,,,,,,,,,,,,,,,Gammelsrød,,,,,,,,,,59.3494833,10.7759694,,Heia,,,,,,,,,,,1580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,NO,NOR,Heia,farm,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,Østfold,,,,,,Heia,,,,,,,,,,Foss,,,,,,,,,,59.493075,11.2124722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,FI,FIN,Helsingfors,city,,,,,,,,,,,,,,,,,,Helsinki,,,,,Europe,,Finland,fi,Helsinki sub-region,,,,,,,,,,,,,,,,,,,,,,,,,,60.1674098,24.9425769,,,,,,,,,,,,European Union,,,,,,,,,,,,,,,Southern Finland,,Southern Finland,,,,,,,,,,,,,,
334,SE,SWE,Helsingfors,village,,,,,,,,,,,,,,,,,,,,,,,Europe,,Sweden,se,Lycksele,,,,,,,,,,,,,,,,Helsingfors,,,,,,,,,,64.5538315,18.6988667,,,,,,,,,,,,European Union,92137,,,,,,,,,,,,,,Västerbotten County,,,,,,,,,,,,,,,,
335,FI,FIN,Helsingfors,station,,,,,,,,,,,,,,,,,,Helsinki,Southern major district,,,,Europe,,Finland,fi,Helsinki sub-region,,,,,,,,,,,,,,,,,,,,,1,,,,,60.1712548,24.9414391,,,,,,Center,,,,,,European Union,00100,,,,,,,,,,Kaivokatu,,,,Southern Finland,,Southern Finland,station,,Kluuvi,,,,,,,,,,,
336,SE,SWE,Helsingfors,bus_stop,,,,,,,,,,,,,Helsingfors,,,,,,,,,,Europe,,Sweden,se,Lycksele,,,,,,,,,,,,,,,,Helsingfors,,,,,,,,,,64.5564671,18.6946074,,,,,,Forsdala,,,,,,European Union,92137,,,,,,,,,,AC 598,bus_stop,,,Västerbotten County,,,,,Hede,,,,,,,,,,,
337,DK,DNK,Hornbæk,village,,,,,,,,,,,,,,,,,,,,,,,Europe,,Denmark,dk,Helsingør Municipality,,,,,,,,,,,,,,,,,,,,,,,,,,56.0879176,12.4587803,,,,,,,,,,,,European Union,3100,,,,,,,,,,,,,,Capital Region of Denmark,,,,,,,,,,,,,,,Hornbæk,
338,DK,DNK,Hornbæk,station,,,,,,,,,,,,,,,,,,,,,,,Europe,,Denmark,dk,Helsingør Municipality,,,,,,,,,,,,,,,,,,,,,,,,,,56.089141,12.4597581,,,,,,,,,,,,European Union,3100,,,,,,,,,,Johannes Ewalds Vej,,,,Capital Region of Denmark,,,Hornbæk,,Horneby,,,,,,,,,,Hornbæk,
339,DE,DEU,Hørup,city,,,,,,,,,,,,,,,,,,Hörup,,,,,Europe,,Germany,de,Schafflund,,,,,,,,,,,,,,,,,,,,,,,,,,54.7447487,9.1033911,,,,,,,,,,,,European Union,,,,,,,,,,,,,,,Schleswig-Holstein,SH,,,,,,,,,,,,,,,
340,DK,DNK,Hørup,village,,,,,,,,,,,,,,,,,,,,,,,Europe,,Denmark,dk,Vejle Municipality,,,,,,,,,,,,,,,,Hørup,,,,,,,,,,55.760856,9.4675172,,,,,,,,,,,,European Union,7300,,,,,,,,,,,,,,Region of Southern Denmark,,,,,,,,,,,,,,,,
341,DK,DNK,Hørup,village,,,,,,,,,,,,,,,,,,,,,,,Europe,,Denmark,dk,Sønderborg Municipality,,,,,,,,,,,,,,,,Hørup,,,,,,,,,,54.9136981,9.8956435,,,,,,,,,,,,European Union,,,,,,,,,,,,,,,Region of Southern Denmark,,,,,,,,,,,,,,,,
342,DK,DNK,Hørup,village,,,,,,,,,,,,,,,,,,,,,,,Europe,,Denmark,dk,Frederikssund Municipality,,,,,,,,,,,,,,,,,,,,,,,,,,55.8528508,12.1336895,,,,,,,,,,,,European Union,,,,,,,,,,,,,,,Capital Region of Denmark,,,,,,,,,,,,,,,Hørup,
343,SE,SWE,Hørup,village,,,,,,,,,,,,,,,,,,,,,,,Europe,,Sweden,se,Ystad,,,,,,,,,,,,,,,,Hörup,,,,,,,,,,55.4437114,14.1213546,,,,,,,,,,,,European Union,276 35,,,,,,,,,,,,,,Skåne County,,,,,,,,,,,,,,,,
344,SE,SWE,Hørup,bus_stop,,,,,,,,,,,,,Hörup,,,,,,,,,,Europe,,Sweden,se,Ystad,,,,,,,,,,,,,,,,Hörup,,,,,,,,,,55.443135,14.1203705,,,,,,,,,,,,European Union,276 35,,,,,,,,,,Storgatan,bus_stop,,,Skåne County,,,,,,,,,,,,,,,,
345,IN,IND,Indien,country,,,,,,,,,,,,,,,,,,,,,,,Asia,,India,in,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3511148,78.6677428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,MM,MMR,Indien,village,,,,,,,,,,,,,,,,,,,,,,,Asia,,Myanmar,mm,Mawlamyine District,,,,,,,,,,,,,,,,,,,,,,,,,,15.3458196,97.7510033,,,,,,,,,,,,,,,,,,,,,,,,,,,Mon,,,,,,,,,,,,,,,Indin,
347,AE,ARE,Indien,islet,,,,,,,,,,,,,,,,,,Dubai,,,,,Asia,,United Arab Emirates,ae,,,,,,,,,,,,,,,,,,,,,,,,,,India,25.2311711,55.1797134,,,,,,,,,,,,,,,,,,,,,,,,,,,Dubai,,,,,,,,,,,,,,,,
348,CH,CHE,Indien,restaurant,,,,,,,,,,,,,,,,,,,,,,,Europe,,Switzerland,ch,Bezirk Baden,,,,,,,,,,,,,,,,,,,,,3,,,,,47.4787946,8.3137524,,,,,,,,,,,,,5408,,,,,,,Indien,,,Sonnenbergstrasse,,,,Aargau,AG,,,,,,,,,,,,,,Ennetbaden,
349,DK,DNK,Indien,road,,,,,,,,,,,,,,,,,,,,,,,Europe,,Denmark,dk,Norddjurs Municipality,,,,,,,,,,,,,,,,,,,,,,,,,,56.7231885,11.622757,,,,,,,,,,,,European Union,,,,,,,,,,,Ørkenvej,,,,Central Denmark Region,,,,,,,,,,,,,Indien,,,
350,IL,ISR,Jerusalem,city,,,,,,,,,,,,,,,,,,Jerusalem,,,,,Asia,,Israel,il,,,,,,,,,,,,,,,,,,,,,,,,,,,31.778345,35.2250786,,,,,,,,,,,,,,,,,,,,,,,,,,,Jerusalem District,,,,,,,,,,,,,,,,
351,ZA,ZAF,Jerusalem,city,,,,,,,,,,,,,,,,,,,,,,,Africa,,RSA,za,Ehlanzeni,,,,,,,,,,,,,,,,,,,,,,,,,,-25.1972222,31.1138889,,,,,,,,,,,,,,,,,,,,,,,,,,,Mpumalanga,MP,,,,,,,,Jerusalem,,,,,,,
352,US,USA,Jerusalem,village,,,,,,,,,,,,,,,,,,,,,,,North America,,USA,us,Montgomery County,,,,,,,,,,,,,,,,Jerusalem,,,,,,,,,,39.1592724,-77.4060975,,,,,,,,,,,,,20839,,,,,,,,,,,,,,Maryland,MD,,,,,,,,,,,,,,,
353,US,USA,Jerusalem,village,,,,,,,,,,,,,,,,,,,,,,,North America,,USA,us,Harford County,,,,,,,,,,,,,,,,Jerusalem,,,,,,,,,,39.4628854,-76.3891275,,,,,,,,,,,,,21047\,,,,,,,,,,,,,,Maryland,MD,,,,,,,,,,,,,,,
354,US,USA,Jerusalem,village,,,,,,,,,,,,,,,,,,,,,,,North America,,USA,us,Frederick County,,,,,,,,,,,,,,,,Jerusalem,,,,,,,,,,39.5242666,-77.5799891,,,,,,,,,,,,,21773,,,,,,,,,,,,,,Maryland,MD,,,,,,,,,,,,,,,
355,US,USA,Jerusalem,village,,,,,,,,,,,,,,,,,,,,,,,North America,,USA,us,Lincoln County,,,,,,,,,,,,,,,,Jerusalem,,,,,,,,,,35.2434119,-86.7844447,,,,,,,,,,,,,,,,,,,,,,,,,,,Tennessee,TN,,,,,,,,,,,,,,,
356,US,USA,Jerusalem,village,,,,,,,,,,,,,,,,,,,,,,,North America,,USA,us,Lawrence County,,,,,,,,,,,,,,,,Jerusalem,,,,,,,,,,34.7050897,-87.2269623,,,,,,,,,,,,,,,,,,,,,,,,,,,Alabama,AL,,,,,,,,,,,,,,,
357,US,USA,Jerusalem,village,,,,,,,,,,,,,,,,,,,,,,,North America,,USA,us,Pickens County,,,,,,,,,,,,,,,,Jerusalem,,,,,,,,,,34.4417574,-84.5821529,,,,,,,,,,,,,,,,,,,,,,,,,,,Georgia,GA,,,,,,,,,,,,,,,
358,US,USA,Jerusalem,village,,,,,,,,,,,,,,,,,,,,,,,North America,,USA,us,Newton County,,,,,,,,,,,,,,,,Jerusalem,,,,,,,,,,33.5201187,-83.7412891,,,,,,,,,,,,,30055,,,,,,,,,,,,,,Georgia,GA,,,,,,,,,,,,,,,
359,US,USA,Jorden,road,,,,,,,,,,,,,,,,,,Houston,,,,,North America,,USA,us,Harris County,,,,,,,,,,,,,,,,,,,,,,,,,,29.7862527,-95.6320679,,,,,,,,,,,,,77077:77084,,,,,,,,,,Jorden,service,,,Texas,TX,,,,,,,,,,,,,,,
360,DK,DNK,Jorden,artwork,,,,,,Jorden,,,,,,,,,,,,Horsens,,,,,Europe,,Denmark,dk,Horsens Municipality,,Bollerstien,,,,,,,,,,,,,,,,,,,,,,,,55.8501304,9.8490514,,,,,,,,,,,,European Union,8700,,,,,,Horsens,,,,,,,,Central Denmark Region,,,,,,,,,,,,,,,,
361,DK,DNK,Jorden,information,,,,,,,,,,,,,,,,,,,,,,,Europe,,Denmark,dk,Lemvig Municipality,,,,,,,,,,,,,,,,,,,,,,,Jorden,,,56.5505275,8.298817,,,,,,,,,,,,European Union,7620,,,,,,,,,,Strandvejen,,,,Central Denmark Region,,,,,,,,,,,,,,,Lemvig,
362,DE,DEU,Jorden,building,,,,,,,,,,,,,,,,,,Kreis Steinfurt,,,,,Europe,,Germany,de,Kreis Steinfurt,,,,,,,,,,,,,,,,,,,,,17,,,,,52.124588,7.3947619,,,,,,,,,,,,European Union,48565,,,,,,,,,,Münsterstraße,,,,North Rhine-Westphalia,,Regierungsbezirk Münster,,,Borghorst,,,,Steinfurt,,,,Jörden,,,
363,SE,SWE,Jorden,water,,,,,,,,,,,,,,,,,,,Norra Vings distrikt,,,,Europe,,Sweden,se,Skara,,,,,,,,,,,,,,,,,,,,,,,,,,58.3909734,13.5814426,,,,,,,,,,,,European Union,532 72,,,,,,,,,,Skaravägen,,,,Västra Götaland County,,,,,,,,,,,,,,,Axvall,Jörden
364,EE,EST,Jorden,city,,,,,,,,,,,,,,,,,,,,,,,Europe,,Estonia,ee,Juuru vald,,,,,,,,,,,,,,,,,,,,,,,,,,59.06472,24.95028,,,,,,,,,,,,European Union,,,,,,,,,,,,,,,Raplamaa,,,,,,,,,Juuru,,,,,,,
365,CA,CAN,Kanada,country,,,,,,,,,,,,,,,,,,,,,,,North America,,Canada,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0666922,-107.9917071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,CZ,CZE,Kanada,stream,,,,,,,,,,,,,,,,,,,,,,,Europe,,Czechia,cz,okres Frýdek-Místek,,,,,,,,,,,,,,,,,,,,,,,,,,49.6751788,18.6413672,,,,,,,,,,,,European Union,73961,,,,,,,,,,,,,,Moravia-Silesia,,,,Kanada,,,,,Třinec,,,,,,,
367,PL,POL,Kanada,village,,,,,,,,,,,,,,,,,,,,,,,Europe,,Poland,pl,gmina Bełchatów,,,,,,,,,,,,,,,,,,,,,,,,,,51.3965073,19.4154382,,,,,,,,,,,,European Union,,,,,,,,,,,,,,,Łódź Voivodeship,,powiat bełchatowski,,,,,,,,,,,,,Kanada,
368,JP,JPN,Kanada,station,,,,,,,,,,,,,,,,,,,,,,,Asia,,Japan,jp,Tagawa County,,,,,,,,,,,,,,,,,,,,,,,,,,33.6831864,130.7759265,,,,,,,,,,,,,825-0016,,,,,,,,,,田川直方線,,,,Fukuoka Prefecture,,,Kanada,,,,,,Fukuchi,,,,,,,
369,DE,DEU,Kanada,village,,,,,,,,,,,,,,,,,,,,,,,Europe,,Germany,de,Greiz,,,,,,,,,,,,,,,,Kanada,,,,,,,,,,50.834587,11.9572089,,,,,,,,,,,,European Union,07589,,,,,,,,,,,,,,Thuringia,,,,,,,,,,,,,,,,
370,PL,POL,Kanada,village,,,,,,,,,,,,,,,,,,,,,,,Europe,,Poland,pl,gmina Chodecz,,,,,,,,,,,,,,,,Kanada,,,,,,,,,,52.4036111,18.9413889,,,,,,,,,,,,European Union,,,,,,,,,,,,,,,Kuyavian-Pomeranian Voivodeship,,powiat włocławski,,,,,,,,,,,,,,
371,PL,POL,Kanada,village,,,,,,,,,,,,,,,,,,,,,,,Europe,,Poland,pl,gmina Kobylin,,,,,,,,,,,,,,,,Kanada,,,,,,,,,,51.7780556,17.1977778,,,,,,,,,,,,European Union,,,,,,,,,,,,,,,Greater Poland Voivodeship,,powiat krotoszyński,,,,,,,,,,,,,,
372,PL,POL,Kanada,village,,,,,,,,,,,,,,,,,,,,,,,Europe,,Poland,pl,gmina Pleśna,,,,,,,,,,,,,,,,Kanada,,,,,,,,,,49.957182,20.949534,,,,,,,,,,,,European Union,33-114,,,,,,,,,,,,,,Lesser Poland Voivodeship,,powiat tarnowski,,,,,,,,,,,,,,
373,PL,POL,Kanada,village,,,,,,,,,,,,,,,,,,,,,,,Europe,,Poland,pl,gmina Wieprz,,,,,,,,,,,,,,,,Kanada,,,,,,,,,,49.9280556,19.4313889,,,,,,,,,,,,European Union,34-108,,,,,,,,,,,,,,Lesser Poland Voivodeship,,powiat wadowicki,,,,,,,,,,,,,,
374,PL,POL,Kanada,village,,,,,,,,,,,,,,,,,,,,,,,Europe,,Poland,pl,gmina Zakliczyn,,,,,,,,,,,,,,,,Kanada,,,,,,,,,,49.8961111,20.7827778,,,,,,,,,,,,European Union,32-855,,,,,,,,,,,,,,Lesser Poland Voivodeship,,powiat tarnowski,,,,,,,,,,,,,,
375,NO,NOR,Karl Johan,road,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,Hedmark,,,,,,,,,,,,,,,,,,,,,,,,,,60.7408056,11.153842,,,,,,,,,,,,,2312,,,,,,,,,,Karl Johan,,,,,,,,,,,,,,,,,,,Ottestad,
376,NO,NOR,Karl Johan,road,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,West Agder,,,,,,,,,,,,,,,,,,,,,,,,,,57.9852882,7.5319303,,,,,,Ytre Farestad,,,,,,,,,,,,,,,,,Karl Johan,residential,,,,,,,,,,,,,,,,,,Farestad,
377,NO,NOR,Karl Johan,road,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,Troms,,,,,,,,,,,,,,,,,,,,,,,,,,69.6472466,18.9509507,,,,,,Skarpsno,,,,,,,9296,,,,,,,,,,Karl Johan,service,,,,,,,,Sørbyen,,,,,,,,,,,
378,NO,NOR,Karl Johan,neighbourhood,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,Buskerud,,,,,,,,,,,,,,,,,,,,,,,,,,60.212808,8.101911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Søre Kosadalssætre,,,,,,,,Karl Johan,,,
379,NO,NOR,Karl Johan,county,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,Alta,,,,,,,,,,,,,,,,,,,,,,,,,,69.93446,23.02222,,,,,,,,,,,,,,,,,,,,,,,,,,,Finnmark,,,,,,,,,,,,,,,,
380,US,USA,Kentucky,state,,,,,,,,,,,,,,,,,,,,,,,North America,,USA,us,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5726028,-85.1551411,,,,,,,,,,,,,,,,,,,,,,,,,,,Kentucky,KY,,,,,,,,,,,,,,,
381,US,USA,Kentucky,village,,,,,,,,,,,,,,,,,,,,,,,North America,,USA,us,Edgar County,,,,,,,,,,,,,,,,Kentucky,,,,,,,,,,39.5933684,-87.6111352,,,,,,,,,,,,,61955,,,,,,,,,,,,,,Illinois,IL,,,,,,,,,,,,,,,
382,US,USA,Kentucky,village,,,,,,,,,,,,,,,,,,,,,,,North America,,USA,us,Alger County,,,,,,,,,,,,,,,,Kentucky,,,,,,,,,,46.2652316,-86.6309875,,,,,,,,,,,,,,,,,,,,,,,,,,,Michigan,MI,,,,,,,,,,,,,,,
383,US,USA,Kentucky,village,,,,,,,,,,,,,,,,,,,,,,,North America,,USA,us,Saline County,,,,,,,,,,,,,,,,Kentucky,,,,,,,,,,34.6084254,-92.6612749,,,,,,,,,,,,,,,,,,,,,,,,,,,Arkansas,AR,,,,,,,,,,,,,,,
384,AU,AUS,Kentucky,farm,,,,,,,,,,,,,,,,,,,,,,,Oceania,,Australia,au,,,,,,,Kentucky,,,,,,,,,,,,,,,22260,,,,,-27.9734147,149.3493147,,,,,,,,,,,,,,,,,,,,,,,,,,,Queensland,QLD,,,,,,,,,,,,,,,
